answer_md,category,question,url
"The CPF LIFE premium and payout levels are determined by an independent actuarial consultant. They are dependent on factors such as:
1. [Retirement Account savings used to join CPF LIFE](/member/faq/retirement-income/monthly-payouts/how-much-cpf-savings-do-i-need-to-join-cpf-life-)
2. Gender;
3. Age;
4. CPF interest rates; and
5. Mortality rates",monthly-payouts,How are the CPF LIFE premium and payout for each plan calculated?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-are-the-cpf-life-premium-and-payout-for-each-plan-calculated
"CPF LIFE premiums are invested in Special Singapore Government Securities (SSGS), which are safe instruments because they are issued and guaranteed by the Government, and shielded from financial market fluctuations.",monthly-payouts,What are CPF LIFE premiums invested in and are the investments safe?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-are-cpf-life-premiums-invested-in-and-are-the-investments-s
"The interest earned on your CPF LIFE premium benefits you in two ways:
1. It is factored into your monthly payouts and you receive a higher payout from the start.
2. The interest accumulated on your CPF LIFE premium, along with the premiums of other CPF LIFE members, ensures that you can continue receiving payouts no matter how long you live, even if your CPF LIFE premium balance is depleted.",monthly-payouts,What happens to the interest earned on my CPF LIFE premium?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-happens-to-the-interest-earned-on-my-cpf-life-premium-
"You only need to [choose your CPF LIFE plan](https://www.cpf.gov.sg/cpflifeapp) when you wish to start receiving your CPF LIFE monthly payouts.
If you're [automatically included in CPF LIFE](/member/faq/retirement-income/monthly-payouts/do-i-have-to-join-cpf-life-),†you can start your payouts any time from 65 to 70 and choose your CPF LIFE plan then. If you do not choose a plan before 70, you will be automatically placed on the CPF LIFE Standard Plan and your payouts will start at 70.
If you're not automatically included in CPF LIFE, you can choose your CPF LIFE plan when you wish to join the scheme, any time from 65 to one month before you turn 80.
To help you better decide on which CPF LIFE plan is suitable for you, find out more details on†[what are the CPF LIFE plans available](/member/faq/retirement-income/monthly-payouts/what-are-the-cpf-life-plans-available).",monthly-payouts,When do I have to choose my CPF LIFE plan?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/when-do-i-have-to-choose-my-cpf-life-plan
"You can request to change your CPF LIFE plan type within 30 days from the date of your first\* policy letter. This request can be made via [My Mailbox](https://www.cpf.gov.sg/mymailbox).
A [change of CPF LIFE plan type](https://www.cpf.gov.sg/eSvc/Web/Schemes/ChangeLifePlan/CoverPage) beyond the 30 days grace period is possible if
1. You are on a legacy plan (Basic, Balanced, Plus or Income Plan) and wish to change to the Escalating Plan or Standard Plan; or
2. You wish to change from Standard to Escalating Plan
Otherwise, changing of CPF LIFE plan after the grace period is not allowed as this will affect the payouts of other members on the scheme.
As changing of CPF LIFE plan is irrevocable, we encourage you to consider your options carefully.
*\*The letter sent to you when your original CPF LIFE plan was first issued.*",monthly-payouts,Can I change my plan type after I have joined CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-change-my-cpf-life-plan-after-i-have-joined-
"You will receive the monthly payouts in your bank account generally on the 2nd or 3rd day of each month, if your bank supports Fast And Secure Transfer (FAST).
Otherwise, you will receive your payouts later, via Inter-bank GIRO (IBG).
If you wish to receive your monthly payouts earlier, you can update your bank account with CPFB to a FAST bank account via the [CPF website](https://www.cpf.gov.sg/changebankaccount).",monthly-payouts,When will I receive my CPF LIFE monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/when-will-i-receive-my-cpf-life-monthly-payouts-
"You can update your bank details for your CPF LIFE monthly payouts via the [CPF website](https://www.cpf.gov.sg/changebankaccount).
It is important to ensure that your bank account details are updated promptly to avoid any delay or disruption in receiving your CPF LIFE payouts.",monthly-payouts,How can I update my bank details for my CPF LIFE monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-can-i-update-my-bank-details-for-my-cpf-life-monthly-payouts
"There are a few ways to increase your future CPF LIFE monthly payouts:
1. **Topping up your Retirement Account (RA) under the Retirement Sum Topping-up Scheme** You or your loved ones can make cash top-ups and CPF transfers to your RA up to the current Enhanced Retirement Sum by logging in with your Singpass at [cpf.gov.sg/rstuform](https://www.cpf.gov.sg/member/tools-and-services/forms-e-applications/cash-top-ups-and-cpf-transfers-for-retirement). The more RA savings you use to join CPF LIFE, the higher your monthly payouts.
2. **Deferring your monthly payouts (up to 70)** Consider deferring your payouts if you are still working or have other income. Your monthly payouts will increase by up to 7% for each year that you defer. If you choose to defer until 70, you could get up to a 35% increase in payouts as your CPF savings would have accumulated more interest. You will only need to decide your CPF LIFE plan when you wish to start your payouts. The latest age you can start your payouts is 70, after which they will automatically begin.
3. **Monetising your property** If you own a property, you can also consider [monetising your property](/member/faq/retirement-income/monthly-payouts/how-can-i-monetise-my-property-and-which-option-is-suitable-for-me).
You can use the [CPF LIFE Estimator](https://www.cpf.gov.sg/lifeestimator) to find out how much RA savings you need, or the age you need to start your payouts to get your desired monthly payout.",monthly-payouts,I have not joined CPF LIFE yet. How can I increase my future monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-have-not-joined-cpf-life-yet-how-can-i-increase-my-future-mth
"If you have already joined CPF LIFE, you can consider the following options to increase your monthly payouts:
1. **Using†your withdrawable CPF savings to increase your CPF LIFE premium** If you are born in 1958 or after, you can withdraw additional amount of up to 20% of your retirement savings from 65, which includes the first $5,000 that you can withdraw at any time from 55. If you are born in 1957, you can withdraw additional amount of up to 10% of your retirement savings from 65, as you can already withdraw up to 10% of your CPF savings from 55. You can use this†[withdrawable amount](/member/faq/retirement-income/retirement-withdrawals/how-much-cpf-savings-can-i-withdraw)to increase your CPF LIFE premium. If you would like to do so, please write in to us via†[My Mailbox](https://www.cpf.gov.sg/mymailbox).
2. **Topping up and increase your CPF LIFE premium** You or your loved ones can make cash top-ups and CPF transfers to your Retirement Account (RA) up to the current Enhanced Retirement Sum by logging in with your Singpass at [cpf.gov.sg/rstuform](https://www.cpf.gov.sg/member/tools-and-services/forms-e-applications/cash-top-ups-and-cpf-transfers-for-retirement). The more RA savings you use to join CPF LIFE, the higher your monthly payouts.
3. **Deferring your monthly payouts (up to 70)** Consider [deferring your payouts](https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-still-defer-to-receive-higher-cpf-life-payouts) if you are still working or have other income. Your monthly payouts will increase by up to 7% for each year that you defer.
4. **Monetising your property** If you own a property, you can also consider [monetising your property](/member/faq/retirement-income/monthly-payouts/how-can-i-monetise-my-property-and-which-option-is-suitable-for-me).
If you wish to enquire on your revised payout, please write in to us via†[My Mailbox](https://www.cpf.gov.sg/mymailbox).",monthly-payouts,I have already joined CPF LIFE. How can I increase my monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-have-already-joined-cpf-life-how-can-i-increase-my-payouts
"The latest age that you can defer your CPF LIFE monthly payouts to is 70. Your monthly payouts will increase by up to 7% for each year of deferral.
**If you were born in 1957 or after:** You can use the **[Plan my monthly payouts](https://www.cpf.gov.sg/payout)** service to defer your payouts after 65, up to 70.
**If you were born before 1957:** You can use the **[Apply to Defer CPF LIFE Payout](https://www.cpf.gov.sg/deferlifepayout)** form to defer your payouts after 65, up to 70.",monthly-payouts,I am going to start / I have started receiving my CPF LIFE monthly payouts. Can I still defer to receive higher payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-still-defer-to-receive-higher-cpf-life-payouts
"The purpose of CPF savings is to provide members with monthly payouts in their retirement. Hence, you will have to start your CPF LIFE monthly payouts, including any Additional Monthly Payouts (AMP), latest by age 70.
We understand that some members think of their savings in CPF as an investment to enjoy the interest rates. If you have no immediate need for the payouts, you can consider investing them outside the CPF system. Do note that investing outside of CPF carries a certain level of risk and requires careful consideration.",monthly-payouts,Can I defer the start of my CPF LIFE monthly payouts beyond 70?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-defer-the-start-of-my-cpf-life-monthly-payouts-beyond-70-
"We want to ensure that your CPF LIFE monthly payouts are sustainable over the long term. As such, our actuarial consultant reviews them yearly and take into account the following:
* Deviations in mortality experience. If more people live longer than expected in the long term, the monthly payouts might be lower, and vice versa.
* Deviations in interest rates. If interest rates are higher than expected, the monthly payouts might be higher, and vice versa.
The revised payout, if any, will take effect every July of the year. We will notify you if there is an adjustment in your monthly payouts. Rest assured that any changes are expected to be small and gradual.",monthly-payouts,How will my CPF LIFE monthly payouts be adjusted and when will payout adjustments be effected?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-will-my-cpf-life-monthly-payouts-be-adjusted
"Changes to your Retirement Account (RA) can affect your monthly payouts. This is because your RA savings is [one of the factors in determining your CPF LIFE payouts](/member/faq/retirement-income/monthly-payouts/how-are-the-cpf-life-premium-and-payout-for-each-plan-calculated).
Outflow from your RA, such as lump sum withdrawals will reduce your CPF LIFE monthly payouts. On the other hand, inflows to your RA, such as top-ups, interest earned or refunds from selling your property or investments will be automatically used to increase your CPF LIFE premium, and allow you to receive higher monthly payouts.
If you have started receiving your CPF LIFE monthly payouts, we will inform you of any revision in your monthly payouts in the following month after the outflow/inflow of funds.",monthly-payouts,How will changes to my Retirement Account affect my CPF LIFE monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-will-changes-to-my-retirement-account-affect-my-cpf-life-monthly-payouts
"You can only cancel your CPF LIFE plan if you are withdrawing your CPF savings for the following reasons.
* You have a reduced life expectancy due to a medical condition, as certified by an [accredited doctor](https://www.cpf.gov.sg/member/faq/retirement-income/retirement-withdrawals/who-is-considered-an-accredited-doctor). Severe medical conditions that cause you to be permanently unfit for work or to lack mental capacity permanently can also be considered.
* You have [closed your CPF account](https://www.cpf.gov.sg/member/account-services/account-closure/closing-your-account-when-you-leave-singapore) as you are a non-Singapore Citizen or a non-Permanent Resident.
* You are fully exempted from setting aside the retirement sum in your Retirement Account because you are receiving a monthly pension / annuity payout.
Upon cancellation of your CPF LIFE plan, you will receive a refund of your CPF LIFE premium balance. If your CPF LIFE premium has been fully paid to you as monthly payouts, there will be no remaining premium balance to refund.",monthly-payouts,Can I cancel my CPF LIFE plan after I have joined?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-cancel-my-cpf-life-plan-after-i-have-joined
"When you pass away, we will pay your CPF LIFE premium balance (if any) together with any remaining CPF savings to your beneficiaries.",monthly-payouts,"I have joined CPF LIFE, what will happen when I pass away?",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-have-joined-cpf-life--what-will-happen-when-i-pass-away-
"Your beneficiaries are persons whom you have nominated to receive your CPF savings, including any CPF LIFE premium balance, when you pass away. If you have not nominated anyone to receive your savings, we will pay them to the Public Trustee for distribution according to the intestacy laws. You can [make a nomination online](https://cpf.gov.sg/makecpfnom) by logging in to *my cpf*Online Services with your Singpass.",monthly-payouts,Who are my beneficiaries?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/who-are-my-beneficiaries
"After you pass away, your beneficiaries will receive your CPF LIFE premium balance, which is the total CPF LIFE premium that you have paid minus the total payouts you have received, together with any remaining CPF savings.
For example, if you paid a CPF LIFE premium of $200,000 and pass away after receiving a monthly payout of $1,000 for 10 months, we will pay your CPF LIFE premium balance of $190,000 (i.e. $200,000 - [$1,000 x 10 months]), together with any CPF savings to your beneficiaries.
On the other hand, if you pass away before receiving any payouts, we will pay your CPF LIFE premium balance of $200,000, together with any remaining CPF savings to your beneficiaries.",monthly-payouts,How much CPF LIFE premium balance will my beneficiaries receive when I pass away?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-much-cpf-life-premium-balance-will-my-beneficiaries-receive-
"The [minimum monthly payout](https://www.cpf.gov.sg/content/dam/web/member/faq/retirement-income/documents/payout-benchmark.pdf) you have to meet for you to [withdraw all your retirement savings](https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-do-i-apply-to-withdraw-my-retirement-savings-if-i-have-a) depends on your birth date and gender. This is computed with reference to the monthly payouts you can receive under CPF LIFE Standard plan with your [Full Retirement Sum](https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-are-the-retirement-sums-applicable-to-me-).
If your pension/annuity monthly payout is less than the minimum monthly payout, you can withdraw a partial amount of your retirement savings.",monthly-payouts,What is the minimum monthly payout I have to receive from my pension/annuity to withdraw all my retirement savings?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-is-the-minimum-monthly-payout-i-have-to-receive
"You have the flexibility to decide when to start your monthly payouts, anytime from 65 to 70.
Note: If you are born before 1958, you are past your[**payout eligibility age**](https://www.cpf.gov.sg/member/faq/retirement-income/general-information-on-retirement/what-is-my-payout-eligibility-age)†and can choose to†[**start your payouts**](https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-do-i-start-my-monthly-payouts-if-i-am-not-on-cpf-life)anytime.",monthly-payouts,When can I start my monthly payouts if I am not on CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/when-can-i-start-my-monthly-payouts-if-i-am-not-on-cpf-life
"You will receive the monthly payouts in your bank account generally on the 2nd or 3rd day of each month, if your bank supports Fast And Secure Transfer (FAST).
Otherwise, you will receive your payouts later, via Interbank GIRO (IBG).
If you wish to receive your monthly payouts earlier, you can update your bank account with CPFB to a FAST bank account by submitting an [online application](https://cpf.gov.sg/startnonlifepayout), or by following the steps below:
1. Login to *my cpf* digital services with your Singpass
2. Click on My Requests > Retirement > Start Monthly Payouts",monthly-payouts,How and when will I receive my monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-and-when-will-i-receive-my-monthly-payouts
"The latest age you can start your monthly payouts is 70.
Find out [what happens if we don't receive your instruction to start your monthly payouts](/member/faq/retirement-income/monthly-payouts/what-happens-if-i-am-not-on-cpf-life-and-i-do-not-start-my-monthly-payouts-by-70).",monthly-payouts,When is the latest age to start my monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/when-is-the-latest-age-to-start-my-monthly-payouts
"You will not be able to defer your monthly payouts beyond 70. The purpose of your retirement savings is to provide you with a stream of retirement income.
If you have no immediate need for the payouts, you can consider investing them outside the CPF system. Do note that investing outside of CPF carries a certain level of risk and requires careful consideration.",monthly-payouts,Can I defer my monthly payouts beyond 70 if I am not on CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/can-i-defer-my-monthly-payouts-beyond-70-if-i-am-not-on-cpf-life
"If you're not on CPF LIFE, your monthly payouts are calculated to last for up to 20 years based on the current base interest rate of 4% per annum of your Retirement Account savings.
As Singaporeans live longer, more than half of those aged 65 today are expected to live more than 20 years. To protect you against the risk of outliving your payouts, the[**extra interest**](https://www.cpf.gov.sg/member/growing-your-savings/earning-higher-returns/earning-attractive-interest)paid by the Government (up to 2% per year) on your retirement savings is used to extend your payouts beyond 20 years, up to age 90\* or another five years, whichever ends later.
![How are monthly payouts calculated if I am not on CPF LIFE?](/content/dam/web/member/faq/retirement-income/images/Payout_Calculation.jpg)\*Up to age 90, or another five years, whichever ends later.You can use the [payout estimator](https://www.cpf.gov.sg/eSvc/Web/Schemes/RetirementSumSchemePayoutEstimator/RetirementSumSchemePayoutEstimator) to estimate the amount of monthly payouts you can receive from your retirement savings.",monthly-payouts,How are monthly payouts calculated if I am not on CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-will-my-retirement-sum-monthly-payouts-be-calculated-
"If you've reached age 65, you can check your monthly payout in your [Retirement dashboard](https://www.cpf.gov.sg/retirement).
If you've not reached age 65, we will notify you three months before your 65th birthday regarding your options on your monthly payout and the decisions that you need to make.
Do note that if you are born in 1958 or after, you may be [automatically included](https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/do-i-have-to-join-cpf-life-) in [CPF LIFE](https://www.cpf.gov.sg/member/retirement-income/monthly-payouts/cpf-life), which provides lifelong monthly payouts.",monthly-payouts,How much monthly payout will I receive if I am not on CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-is-my-monthly-payout-under-the-retirement-sum-scheme--rss--
"Yes, you should be concerned about outliving your monthly payouts. As we cannot predict how long we will live, it is not easy to determine how much we need for our retirement. For example, spending too much might result in you not having enough, while saving too much could end up depriving yourself.
With advancements in technology and healthcare, we can expect to live longer than previous generations. However, many people tend to underestimate their lifespan and fail to save enough for their retirement.
To enjoy peace of mind in your retirement years, you can join CPF LIFE which provides monthly payouts no matter how long you live.
On the other hand, if you are not on CPF LIFE, your monthly payouts will stop once your CPF savings run out.",monthly-payouts,Do I really need to be concerned about outliving my monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-am-concerned-about-outliving-my-cpf-savings--what-are-my-optio
"If you're [not automatically included in CPF LIFE](/member/faq/retirement-income/monthly-payouts/do-i-have-to-join-cpf-life-), the latest age to join CPF LIFE is one month before you turn 80.
If you're automatically included in CPF LIFE, find out [when you have to choose your CPF LIFE plan](/member/faq/retirement-income/monthly-payouts/when-do-i-have-to-choose-my-cpf-life-plan).",monthly-payouts,What is the latest age to join CPF LIFE?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-is-the-latest-age-to-join-cpf-life
"If you are on a legacy plan (i.e. Basic, Balanced, Plus or Income Plan), your monthly payouts will get progressively lower when your combined CPF balances eventually fall below $60,000. To avoid a drop in your monthly payouts in the future, you may consider [switching your CPF LIFE plan to Escalating or Standard Plan](/member/faq/retirement-income/monthly-payouts/can-i-switch-from-a-legacy-plan-to-standard-or-escalating-plan)†before age 80.
To increase your monthly payouts, you may consider doing the following:
* Use your withdrawable CPF savings to increase your CPF LIFE premium
* Make a cash top-up and/or CPF transfers into your Retirement Account
* Defer your monthly payouts (up to 70)
[Find out more about these options to increase your monthly payouts.](/member/faq/retirement-income/monthly-payouts/i-have-already-joined-cpf-life-how-can-i-increase-my-payouts)
If you want to know how your monthly payout will change if you switch your CPF LIFE plan and/or enhance your payouts, please book a [1-to-1 CPF Retirement Planning Service (CRPS) consultation](https://www.cpf.gov.sg/crpsappt) with us at any CPF Service Centres. Personalised information will be used to explain your monthly payout options so you can make an informed decision.",monthly-payouts,"I am under a legacy plan (i.e. Basic, Balanced, Plus or Income Plan). What are my options if I want to switch my CPF LIFE plan and/or increase my monthly payouts?",https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/i-am-under-a-legacy-plan-ie-basic-balanced-plus-or-income-plan
"You can withdraw your retirement savings if you have a pension or annuity that provides you with monthly payouts for life. The amount of retirement savings you can withdraw will depend on the monthly payout you receive from your pension/annuity. [Find out more](/member/faq/retirement-income/monthly-payouts/what-is-the-minimum-monthly-payout-i-have-to-receive).
Pension
Generally, only pensions under the Singapore government will be considered.
Annuity
Only annuities (bought using cash or [CPF Investment Scheme](/member/growing-your-savings/earning-higher-returns/investing-your-cpf-savings/cpf-investment-scheme-options))†administered by Monetary Authority of Singapore (MAS) registered insurance companies and satisfy the stringent requirements under the Insurance Act will be considered. You must also be the policyholder and sole insured person of the annuity policy.
Investment instruments such as endowments and bonds are not allowed as they generally do not provide the policyholder with a lifelong income.",monthly-payouts,What other sources of lifelong income must I have to withdraw my retirement savings?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/what-other-sources-of-lifelong-income-must-i-have
"We will send you a notification three months before your 65th birthday, to guide you to explore [your monthly payouts options](/member/faq/retirement-income/monthly-payouts/monthly-payout-options-upon-reaching-65) and submit your instructions through the [Plan my monthly payouts](/member/faq/retirement-income/monthly-payouts/how-much-payouts-i-can-receive) service.
If you do not submit any instructions on your payouts by 70, your monthly payouts will automatically start in the month of your 70th birthday.",monthly-payouts,I am reaching age 65. How do I start my monthly payouts?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/more-information-on-monthly-payout-options
"To verify whether the email you received from us is legitimate, please check the following:
1. The sender's email address is correctly spelt and ends with @cpf.gov.sg or @e.cpf.gov.sg.
2. You are directed only to our official CPF website (link starting with cpf.gov.sg)
3. The content of the email: Look for any signs of phishing attempts, such as urgent language, threats, or requests for personal information.
The Board will only send digital notifications to the email address registered in our records. You may verify or update your contact details in†[CPF Account settings](https://www.cpf.gov.sg/member/ds/account-settings)†with your Singpass.",monthly-payouts,I am reaching age 65 and received an email message from CPFB on my monthly payout details. How do I verify that the email is legitimate?,https://www.cpf.gov.sg/member/faq/retirement-income/monthly-payouts/how-do-i-verify-that-the-email-is-legitimate
